;;;;;;;;Playing Time;Playing Time;Playing Time;;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Save%;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born;Playing Time MP;Playing Time Starts;Playing Time Min; 90s;Performance GA;Performance GA90;Performance SoTA;Performance Saves;Performance Save%;Performance W;Performance D;Performance L;Performance CS;Performance CS%;Penalty Kicks PKatt;Penalty Kicks PKA;Penalty Kicks PKsv;Penalty Kicks PKm;Penalty Kicks Save%; Matches;#NAME?
89;Eiji Kawashima;jp JPN;GK;Strasbourg;fr Ligue 1;37;1983;24;24;2160;24.0;1.29;1.29;3.79;2.46;69.2;0.33;0.29;0.38;0.33;33.3;0.21;0.13;0.04;0.04;25.0;Matches;a4527d33
90;Caoimhín Kelleher;ie IRL;GK;Liverpool;eng Premier League;21;1998;2;2;180;2.0;0.50;0.50;3.50;3.00;85.7;0.50;0.00;0.50;0.50;50.0;0.00;0.00;0.00;0.00;;Matches;62d7ef38
91;Gregor Kobel;ch SUI;GK;Stuttgart;de Bundesliga;22;1997;33;33;2970;33.0;1.64;1.64;4.76;3.09;68.8;0.33;0.27;0.39;0.15;15.2;0.21;0.15;0.06;0.00;28.6;Matches;cd59b9df
92;Alban Lafont;fr FRA;GK;Nantes;fr Ligue 1;21;1999;38;38;3420;38.0;1.45;1.45;4.42;2.97;73.2;0.24;0.34;0.42;0.13;13.2;0.32;0.26;0.03;0.03;9.1;Matches;4e7db402
93;Michael Langer;at AUT;GK;Schalke 04;de Bundesliga;35;1985;3;2;239;2.7;4.44;4.52;8.89;4.81;50.0;0.00;0.00;0.74;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;d20f088b
94;Gautier Larsonneur;fr FRA;GK;Brest;fr Ligue 1;23;1997;35;35;3150;35.0;1.77;1.77;4.83;3.09;68.0;0.29;0.20;0.51;0.17;17.1;0.29;0.23;0.03;0.03;11.1;Matches;b49729cb
95;Jean-Louis Leca;fr FRA;GK;Lens;fr Ligue 1;34;1985;37;37;3313;36.8;1.39;1.39;3.70;2.39;69.9;0.41;0.33;0.27;0.22;21.6;0.27;0.27;0.00;0.00;0.0;Matches;edbe46dc
96;Benjamin Lecomte;fr FRA;GK;Monaco;fr Ligue 1;29;1991;28;28;2520;28.0;0.96;0.96;2.43;1.50;64.7;0.64;0.18;0.18;0.46;46.4;0.11;0.11;0.00;0.00;0.0;Matches;2fa2a875
97;Jeremías Ledesma;ar ARG;GK;Cádiz;es La Liga;27;1993;32;32;2880;32.0;1.41;1.41;3.97;2.56;70.9;0.31;0.31;0.38;0.28;28.1;0.28;0.25;0.03;0.00;11.1;Matches;6c4776b1
98;Bernd Leno;de GER;GK;Arsenal;eng Premier League;28;1992;35;35;3131;34.8;1.06;1.06;3.36;2.39;69.2;0.49;0.17;0.34;0.32;31.4;0.06;0.03;0.03;0.00;50.0;Matches;2628fd2b
