;;;;;;;;Playing Time;Playing Time;Playing Time;;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Save%;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born;Playing Time MP;Playing Time Starts;Playing Time Min; 90s;Performance GA;Performance GA90;Performance SoTA;Performance Saves;Performance Save%;Performance W;Performance D;Performance L;Performance CS;Performance CS%;Penalty Kicks PKatt;Penalty Kicks PKA;Penalty Kicks PKsv;Penalty Kicks PKm;Penalty Kicks Save%; Matches;#NAME?
60;Ivo Grbi?;hr CRO;GK;Atlético Madrid;es La Liga;27-053;1996;4;2;208;2.3;0.87;0.87;3.91;3.04;88.9;0.43;0.43;0.00;0.43;50.0;0.43;0.43;0.00;0.00;0.0;Matches;3f034750
61;Lennart Grill;de GER;GK;Union Berlin;de Bundesliga;24-046;1999;4;4;360;4.0;2.75;2.75;4.50;1.75;50.0;0.25;0.25;0.50;0.25;25.0;0.50;0.50;0.00;0.00;0.0;Matches;37998008
62;Vicente Guaita;es ESP;GK;Crystal Palace;eng Premier League;36-061;1987;26;26;2340;26.0;1.27;1.27;4.35;3.19;72.6;0.23;0.35;0.42;0.23;23.1;0.08;0.08;0.00;0.00;0.0;Matches;ab13a5aa
63;Péter Gulácsi;hu HUN;GK;RB Leipzig;de Bundesliga;32-310;1990;6;6;540;6.0;1.67;1.67;4.33;2.83;65.4;0.33;0.33;0.33;0.33;33.3;0.17;0.17;0.00;0.00;0.0;Matches;bcb2ccd8
64;Samir Handanovi?;si SVN;GK;Inter;it Serie A;38-241;1984;10;10;900;10.0;1.60;1.60;3.80;2.40;60.5;0.50;0.00;0.50;0.20;20.0;0.10;0.10;0.00;0.00;0.0;Matches;74419746
65;Dean Henderson;eng ENG;GK;Nott'ham Forest;eng Premier League;26-000;1997;18;18;1620;18.0;1.72;1.72;4.72;2.89;65.9;0.28;0.28;0.44;0.33;33.3;0.28;0.11;0.11;0.06;50.0;Matches;e5a76dfe
66;Wayne Hennessey;wls WAL;GK;Nott'ham Forest;eng Premier League;36-047;1987;2;2;180;2.0;2.00;2.00;5.50;3.50;63.6;0.00;0.50;0.50;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;76eca7e2
67;Sergio Herrera;es ESP;GK;Osasuna;es La Liga;29-280;1993;12;12;1080;12.0;1.17;1.17;3.67;2.58;70.5;0.33;0.17;0.50;0.17;16.7;0.33;0.08;0.08;0.17;50.0;Matches;a4995f48
68;Lukáš Hrádecký;fi FIN;GK;Leverkusen;de Bundesliga;33-108;1989;22;22;1979;22.0;1.59;1.59;4.50;3.00;69.7;0.41;0.18;0.41;0.23;22.7;0.23;0.23;0.00;0.00;0.0;Matches;ad3389d5
69;Jan Jakob Olschowsky;de GER;GK;M'Gladbach;de Bundesliga;21-114;2001;2;2;180;2.0;2.00;2.00;7.00;5.00;71.4;0.50;0.00;0.50;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;fa4cabd1
70;Filip Jörgensen;dk DEN;GK;Villarreal;es La Liga;20-330;2002;1;1;90;1.0;1.00;1.00;3.00;2.00;66.7;0.00;0.00;1.00;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;0107757e
71;Bingourou Kamara;sn SEN;GK;Montpellier;fr Ligue 1;26-142;1996;5;4;408;4.5;2.44;2.43;5.56;2.89;60.0;0.00;0.22;0.67;0.00;0.0;0.67;0.22;0.22;0.22;50.0;Matches;3814120d
72;Gregor Kobel;ch SUI;GK;Dortmund;de Bundesliga;25-096;1997;18;18;1620;18.0;1.06;1.06;4.56;3.50;76.8;0.78;0.00;0.22;0.44;44.4;0.00;0.00;0.00;0.00;;Matches;cd59b9df
73;Tomáš Koubek;cz CZE;GK;Augsburg;de Bundesliga;30-198;1992;4;4;360;4.0;2.25;2.25;6.25;4.00;64.0;0.00;0.50;0.50;0.00;0.0;0.00;0.00;0.00;0.00;;Matches;dc366c36
74;Alban Lafont;fr FRA;GK;Nantes;fr Ligue 1;24-048;1999;25;25;2249;25.0;1.32;1.32;4.48;3.32;74.1;0.24;0.36;0.40;0.36;36.0;0.16;0.16;0.00;0.00;0.0;Matches;4e7db402
75;Benjamin Lecomte;fr FRA;GK;Espanyol;es La Liga;31-320;1991;10;10;899;10.0;1.40;1.40;4.00;2.70;65.0;0.10;0.50;0.40;0.10;10.0;0.00;0.00;0.00;0.00;;Matches;2fa2a875
76;Benjamin Lecomte;fr FRA;GK;Montpellier;fr Ligue 1;31-320;1991;7;7;630;7.0;0.86;0.86;4.00;2.86;78.6;0.57;0.14;0.29;0.57;57.1;0.29;0.00;0.29;0.00;100.0;Matches;2fa2a875
